cluster_nl,date,prediction
BRAND_9C65_COUNTRY_3536,2023-12-01,1.1302941
BRAND_D13E_COUNTRY_9891,2023-01-01,1.6491524
BRAND_D13E_COUNTRY_9891,2023-02-01,1.6363167
BRAND_D13E_COUNTRY_9891,2023-03-01,1.8098692
BRAND_D13E_COUNTRY_9891,2023-04-01,1.689285
BRAND_D13E_COUNTRY_9891,2023-05-01,1.7016674
BRAND_D13E_COUNTRY_9891,2023-06-01,1.8075066
BRAND_D13E_COUNTRY_9891,2023-07-01,1.8783158
BRAND_D13E_COUNTRY_9891,2023-08-01,1.8223568
BRAND_D13E_COUNTRY_9891,2023-09-01,1.8366736
BRAND_D13E_COUNTRY_9891,2023-10-01,1.8236202
BRAND_D13E_COUNTRY_9891,2023-11-01,1.8319229
BRAND_D13E_COUNTRY_9891,2023-12-01,1.8251419
BRAND_740F_COUNTRY_9891,2023-01-01,1.0215746
BRAND_740F_COUNTRY_9891,2023-02-01,1.0213879
BRAND_740F_COUNTRY_9891,2023-03-01,1.0803963
BRAND_740F_COUNTRY_9891,2023-04-01,1.026797
BRAND_740F_COUNTRY_9891,2023-05-01,1.0319355
BRAND_740F_COUNTRY_9891,2023-06-01,1.0694708
BRAND_740F_COUNTRY_9891,2023-07-01,1.1046354
BRAND_740F_COUNTRY_9891,2023-08-01,1.0831528
BRAND_740F_COUNTRY_9891,2023-09-01,1.0992469
BRAND_740F_COUNTRY_9891,2023-10-01,1.1201254
BRAND_740F_COUNTRY_9891,2023-11-01,1.1217258
BRAND_740F_COUNTRY_9891,2023-12-01,1.1427115
BRAND_29F9_COUNTRY_5FEB,2023-01-01,1.3535334
BRAND_29F9_COUNTRY_5FEB,2023-02-01,1.344963
BRAND_29F9_COUNTRY_5FEB,2023-03-01,1.4288781
BRAND_29F9_COUNTRY_5FEB,2023-04-01,1.4118274
BRAND_29F9_COUNTRY_5FEB,2023-05-01,1.4591069
BRAND_29F9_COUNTRY_5FEB,2023-06-01,1.4670979
BRAND_29F9_COUNTRY_5FEB,2023-07-01,1.4486034
BRAND_29F9_COUNTRY_5FEB,2023-08-01,1.4517298
BRAND_29F9_COUNTRY_5FEB,2023-09-01,1.4539587
BRAND_29F9_COUNTRY_5FEB,2023-10-01,1.4847527
BRAND_29F9_COUNTRY_5FEB,2023-11-01,1.5022894
BRAND_29F9_COUNTRY_5FEB,2023-12-01,1.5028557
BRAND_056A_COUNTRY_53A5,2023-01-01,1.7545205
BRAND_056A_COUNTRY_53A5,2023-02-01,1.8169389
BRAND_056A_COUNTRY_53A5,2023-03-01,1.9132291
BRAND_056A_COUNTRY_53A5,2023-04-01,2.1025286
BRAND_056A_COUNTRY_53A5,2023-05-01,1.9466758
BRAND_056A_COUNTRY_53A5,2023-06-01,2.0528946
BRAND_056A_COUNTRY_53A5,2023-07-01,2.1620116
BRAND_056A_COUNTRY_53A5,2023-08-01,2.456101
BRAND_056A_COUNTRY_53A5,2023-09-01,2.4999905
BRAND_056A_COUNTRY_53A5,2023-10-01,2.533794
BRAND_056A_COUNTRY_53A5,2023-11-01,2.5889385
BRAND_056A_COUNTRY_53A5,2023-12-01,2.7229319
BRAND_D786_COUNTRY_53A5,2023-01-01,1.631617
BRAND_D786_COUNTRY_53A5,2023-02-01,1.670003
BRAND_D786_COUNTRY_53A5,2023-03-01,1.7626737
BRAND_D786_COUNTRY_53A5,2023-04-01,1.9611636
BRAND_D786_COUNTRY_53A5,2023-05-01,1.8131279
BRAND_D786_COUNTRY_53A5,2023-06-01,1.904222
BRAND_D786_COUNTRY_53A5,2023-07-01,2.218363
BRAND_D786_COUNTRY_53A5,2023-08-01,2.243717
BRAND_D786_COUNTRY_53A5,2023-09-01,2.2508695
BRAND_D786_COUNTRY_53A5,2023-10-01,2.2997506
BRAND_D786_COUNTRY_53A5,2023-11-01,2.295328
BRAND_D786_COUNTRY_53A5,2023-12-01,2.3909352
BRAND_740F_COUNTRY_53A5,2023-01-01,1.7731597
BRAND_740F_COUNTRY_53A5,2023-02-01,1.8296336
BRAND_740F_COUNTRY_53A5,2023-03-01,1.9153738
BRAND_740F_COUNTRY_53A5,2023-04-01,2.0259988
BRAND_740F_COUNTRY_53A5,2023-05-01,1.9111687
BRAND_740F_COUNTRY_53A5,2023-06-01,2.0267932
BRAND_740F_COUNTRY_53A5,2023-07-01,2.2616775
BRAND_740F_COUNTRY_53A5,2023-08-01,2.2750857
BRAND_740F_COUNTRY_53A5,2023-09-01,2.2922072
BRAND_740F_COUNTRY_53A5,2023-10-01,2.348393
BRAND_740F_COUNTRY_53A5,2023-11-01,2.3851156
BRAND_740F_COUNTRY_53A5,2023-12-01,2.40578
BRAND_4710_COUNTRY_5FEB,2023-01-01,1.9843141
BRAND_4710_COUNTRY_5FEB,2023-02-01,1.97876
BRAND_4710_COUNTRY_5FEB,2023-03-01,2.0430162
BRAND_4710_COUNTRY_5FEB,2023-04-01,2.0757349
BRAND_4710_COUNTRY_5FEB,2023-05-01,2.143577
BRAND_4710_COUNTRY_5FEB,2023-06-01,2.15639
BRAND_4710_COUNTRY_5FEB,2023-07-01,2.1382554
BRAND_4710_COUNTRY_5FEB,2023-08-01,2.1371024
BRAND_4710_COUNTRY_5FEB,2023-09-01,2.1859891
BRAND_4710_COUNTRY_5FEB,2023-10-01,2.258545
BRAND_4710_COUNTRY_5FEB,2023-11-01,2.322411
BRAND_4710_COUNTRY_5FEB,2023-12-01,2.3456802
BRAND_4F19_COUNTRY_5FEB,2023-01-01,1.7706726
BRAND_4F19_COUNTRY_5FEB,2023-02-01,1.7232188
BRAND_4F19_COUNTRY_5FEB,2023-03-01,1.7689523
BRAND_4F19_COUNTRY_5FEB,2023-04-01,1.8175977
BRAND_4F19_COUNTRY_5FEB,2023-05-01,1.7853467
BRAND_4F19_COUNTRY_5FEB,2023-06-01,1.7437812
BRAND_4F19_COUNTRY_5FEB,2023-07-01,1.7203006
BRAND_4F19_COUNTRY_5FEB,2023-08-01,1.7051697
BRAND_4F19_COUNTRY_5FEB,2023-09-01,1.7488859
BRAND_4F19_COUNTRY_5FEB,2023-10-01,1.7707237
BRAND_4F19_COUNTRY_5FEB,2023-11-01,2.3128023
BRAND_4F19_COUNTRY_5FEB,2023-12-01,2.4295948
BRAND_B79F_COUNTRY_B6AE,2023-01-01,0.99875647
BRAND_B79F_COUNTRY_B6AE,2023-02-01,0.9994929
BRAND_B79F_COUNTRY_B6AE,2023-03-01,1.0043904
BRAND_B79F_COUNTRY_B6AE,2023-04-01,1.0046264
BRAND_B79F_COUNTRY_B6AE,2023-05-01,1.0066237
BRAND_B79F_COUNTRY_B6AE,2023-06-01,1.0064136
BRAND_B79F_COUNTRY_B6AE,2023-07-01,1.0064486
BRAND_B79F_COUNTRY_B6AE,2023-08-01,1.0070304
BRAND_B79F_COUNTRY_B6AE,2023-09-01,1.0069226
BRAND_B79F_COUNTRY_B6AE,2023-10-01,1.0106635
BRAND_B79F_COUNTRY_B6AE,2023-11-01,1.0115442
BRAND_B79F_COUNTRY_B6AE,2023-12-01,1.012246
BRAND_D72F_COUNTRY_3536,2023-01-01,1.0510752
BRAND_D72F_COUNTRY_3536,2023-02-01,1.0379803
BRAND_D72F_COUNTRY_3536,2023-03-01,1.0728195
BRAND_D72F_COUNTRY_3536,2023-04-01,1.0721309
BRAND_D72F_COUNTRY_3536,2023-05-01,1.0735096
BRAND_D72F_COUNTRY_3536,2023-06-01,1.0707114
BRAND_D72F_COUNTRY_3536,2023-07-01,1.0754354
BRAND_D72F_COUNTRY_3536,2023-08-01,1.075684
BRAND_D72F_COUNTRY_3536,2023-09-01,1.0778347
BRAND_D72F_COUNTRY_3536,2023-10-01,1.091854
BRAND_D72F_COUNTRY_3536,2023-11-01,1.0923029
BRAND_D72F_COUNTRY_3536,2023-12-01,1.092526
BRAND_E57A_COUNTRY_6C16,2023-01-01,1.0758325
BRAND_E57A_COUNTRY_6C16,2023-02-01,1.0737661
BRAND_E57A_COUNTRY_6C16,2023-03-01,1.1034923
BRAND_E57A_COUNTRY_6C16,2023-04-01,1.0998527
BRAND_E57A_COUNTRY_6C16,2023-05-01,1.1089902
BRAND_E57A_COUNTRY_6C16,2023-06-01,1.1216468
BRAND_E57A_COUNTRY_6C16,2023-07-01,1.1300867
BRAND_E57A_COUNTRY_6C16,2023-08-01,1.1309832
BRAND_E57A_COUNTRY_6C16,2023-09-01,1.1343015
BRAND_E57A_COUNTRY_6C16,2023-10-01,1.1433154
BRAND_E57A_COUNTRY_6C16,2023-11-01,1.1492078
BRAND_E57A_COUNTRY_6C16,2023-12-01,1.1603395
BRAND_740F_COUNTRY_6C16,2023-01-01,1.0971234
BRAND_740F_COUNTRY_6C16,2023-02-01,1.0988399
BRAND_740F_COUNTRY_6C16,2023-03-01,1.1313944
BRAND_740F_COUNTRY_6C16,2023-04-01,1.1201495
BRAND_740F_COUNTRY_6C16,2023-05-01,1.1239336
BRAND_740F_COUNTRY_6C16,2023-06-01,1.1312591
BRAND_740F_COUNTRY_6C16,2023-07-01,1.1380721
BRAND_740F_COUNTRY_6C16,2023-08-01,1.1412494
BRAND_740F_COUNTRY_6C16,2023-09-01,1.152065
BRAND_740F_COUNTRY_6C16,2023-10-01,1.1744442
BRAND_740F_COUNTRY_6C16,2023-11-01,1.1770623
BRAND_740F_COUNTRY_6C16,2023-12-01,1.1897508
BRAND_056A_COUNTRY_9891,2023-01-01,1.0094702
BRAND_056A_COUNTRY_9891,2023-02-01,1.0168363
BRAND_056A_COUNTRY_9891,2023-03-01,1.0509671
BRAND_056A_COUNTRY_9891,2023-04-01,1.0163815
BRAND_056A_COUNTRY_9891,2023-05-01,1.0198925
BRAND_056A_COUNTRY_9891,2023-06-01,1.0537672
BRAND_056A_COUNTRY_9891,2023-07-01,1.0784135
BRAND_056A_COUNTRY_9891,2023-08-01,1.0668709
BRAND_056A_COUNTRY_9891,2023-09-01,1.0709544
BRAND_056A_COUNTRY_9891,2023-10-01,1.083958
BRAND_056A_COUNTRY_9891,2023-11-01,1.0872763
BRAND_056A_COUNTRY_9891,2023-12-01,1.0958445
BRAND_E57A_COUNTRY_9891,2023-01-01,1.0455067
BRAND_E57A_COUNTRY_9891,2023-02-01,1.0424389
BRAND_E57A_COUNTRY_9891,2023-03-01,1.0996671
BRAND_E57A_COUNTRY_9891,2023-04-01,1.0485137
BRAND_E57A_COUNTRY_9891,2023-05-01,1.0628071
BRAND_E57A_COUNTRY_9891,2023-06-01,1.1101314
BRAND_E57A_COUNTRY_9891,2023-07-01,1.125558
BRAND_E57A_COUNTRY_9891,2023-08-01,1.1077334
BRAND_E57A_COUNTRY_9891,2023-09-01,1.114992
BRAND_E57A_COUNTRY_9891,2023-10-01,1.1250762
BRAND_E57A_COUNTRY_9891,2023-11-01,1.1279746
BRAND_E57A_COUNTRY_9891,2023-12-01,1.1262001
BRAND_9259_COUNTRY_6C16,2023-01-01,1.1048402
BRAND_9259_COUNTRY_6C16,2023-02-01,1.1063384
BRAND_9259_COUNTRY_6C16,2023-03-01,1.1359528
BRAND_9259_COUNTRY_6C16,2023-04-01,1.1229918
BRAND_9259_COUNTRY_6C16,2023-05-01,1.1400206
BRAND_9259_COUNTRY_6C16,2023-06-01,1.1492115
BRAND_9259_COUNTRY_6C16,2023-07-01,1.16171
BRAND_9259_COUNTRY_6C16,2023-08-01,1.1669875
BRAND_9259_COUNTRY_6C16,2023-09-01,1.1765939
BRAND_9259_COUNTRY_6C16,2023-10-01,1.1796114
BRAND_9259_COUNTRY_6C16,2023-11-01,1.1841222
BRAND_9259_COUNTRY_6C16,2023-12-01,1.1907971
BRAND_056A_COUNTRY_4442,2023-01-01,1.411644
BRAND_056A_COUNTRY_4442,2023-02-01,1.4091592
BRAND_056A_COUNTRY_4442,2023-03-01,1.4492161
BRAND_056A_COUNTRY_4442,2023-04-01,1.4484361
BRAND_056A_COUNTRY_4442,2023-05-01,1.4572015
BRAND_056A_COUNTRY_4442,2023-06-01,1.473194
BRAND_056A_COUNTRY_4442,2023-07-01,1.4798625
BRAND_056A_COUNTRY_4442,2023-08-01,1.4824141
BRAND_056A_COUNTRY_4442,2023-09-01,1.4824141
BRAND_056A_COUNTRY_4442,2023-10-01,1.5086324
BRAND_056A_COUNTRY_4442,2023-11-01,1.5075412
BRAND_056A_COUNTRY_4442,2023-12-01,1.5033565
BRAND_C352_COUNTRY_9488,2023-01-01,1.0903602
BRAND_C352_COUNTRY_9488,2023-02-01,1.0843992
BRAND_C352_COUNTRY_9488,2023-03-01,1.1204258
BRAND_C352_COUNTRY_9488,2023-04-01,1.1179535
BRAND_C352_COUNTRY_9488,2023-05-01,1.1257242
BRAND_C352_COUNTRY_9488,2023-06-01,1.1295204
BRAND_C352_COUNTRY_9488,2023-07-01,1.1342596
BRAND_C352_COUNTRY_9488,2023-08-01,1.1370996
BRAND_C352_COUNTRY_9488,2023-09-01,1.1344324
BRAND_C352_COUNTRY_9488,2023-10-01,1.140161
BRAND_C352_COUNTRY_9488,2023-11-01,1.1516382
BRAND_C352_COUNTRY_9488,2023-12-01,1.1562018
BRAND_C352_COUNTRY_445D,2023-01-01,1.5646235
BRAND_C352_COUNTRY_445D,2023-02-01,1.5196506
BRAND_C352_COUNTRY_445D,2023-03-01,1.989365
BRAND_C352_COUNTRY_445D,2023-04-01,1.647819
BRAND_C352_COUNTRY_445D,2023-05-01,1.6888671
BRAND_C352_COUNTRY_445D,2023-06-01,1.7602559
BRAND_C352_COUNTRY_445D,2023-07-01,1.7399532
BRAND_C352_COUNTRY_445D,2023-08-01,1.7295241
BRAND_C352_COUNTRY_445D,2023-09-01,1.7748286
BRAND_C352_COUNTRY_445D,2023-10-01,1.815128
BRAND_C352_COUNTRY_445D,2023-11-01,1.829113
BRAND_C352_COUNTRY_445D,2023-12-01,1.8438889
BRAND_740F_COUNTRY_3AD0,2023-01-01,1.087485
BRAND_740F_COUNTRY_3AD0,2023-02-01,1.0865575
BRAND_740F_COUNTRY_3AD0,2023-03-01,1.1211562
BRAND_740F_COUNTRY_3AD0,2023-04-01,1.1043437
BRAND_740F_COUNTRY_3AD0,2023-05-01,1.1263163
BRAND_740F_COUNTRY_3AD0,2023-06-01,1.1311961
BRAND_740F_COUNTRY_3AD0,2023-07-01,1.1429993
BRAND_740F_COUNTRY_3AD0,2023-08-01,1.1421626
BRAND_740F_COUNTRY_3AD0,2023-09-01,1.1449385
BRAND_740F_COUNTRY_3AD0,2023-10-01,1.1544725
BRAND_740F_COUNTRY_3AD0,2023-11-01,1.1521797
BRAND_740F_COUNTRY_3AD0,2023-12-01,1.1570474
BRAND_267B_COUNTRY_9488,2023-01-01,1.2542588
BRAND_267B_COUNTRY_9488,2023-02-01,1.2536831
BRAND_267B_COUNTRY_9488,2023-03-01,1.2740122
BRAND_267B_COUNTRY_9488,2023-04-01,1.2720786
BRAND_267B_COUNTRY_9488,2023-05-01,1.2757351
BRAND_267B_COUNTRY_9488,2023-06-01,1.2822284
BRAND_267B_COUNTRY_9488,2023-07-01,1.2913201
BRAND_267B_COUNTRY_9488,2023-08-01,1.2868692
BRAND_267B_COUNTRY_9488,2023-09-01,1.2881011
BRAND_267B_COUNTRY_9488,2023-10-01,1.2892863
BRAND_267B_COUNTRY_9488,2023-11-01,1.2957832
BRAND_267B_COUNTRY_9488,2023-12-01,1.2971456
BRAND_6200_COUNTRY_9488,2023-01-01,1.1529288
BRAND_6200_COUNTRY_9488,2023-02-01,1.1427897
BRAND_6200_COUNTRY_9488,2023-03-01,1.1860856
BRAND_6200_COUNTRY_9488,2023-04-01,1.1851829
BRAND_6200_COUNTRY_9488,2023-05-01,1.1810826
BRAND_6200_COUNTRY_9488,2023-06-01,1.191438
BRAND_6200_COUNTRY_9488,2023-07-01,1.1908562
BRAND_6200_COUNTRY_9488,2023-08-01,1.2006513
BRAND_6200_COUNTRY_9488,2023-09-01,1.2057029
BRAND_6200_COUNTRY_9488,2023-10-01,1.2157001
BRAND_6200_COUNTRY_9488,2023-11-01,1.2255458
BRAND_6200_COUNTRY_9488,2023-12-01,1.2291895
BRAND_9259_COUNTRY_A67D,2023-01-01,1.1049576
BRAND_9259_COUNTRY_A67D,2023-02-01,1.080423
BRAND_9259_COUNTRY_A67D,2023-03-01,1.127505
BRAND_9259_COUNTRY_A67D,2023-04-01,1.1093323
BRAND_9259_COUNTRY_A67D,2023-05-01,1.1155866
BRAND_9259_COUNTRY_A67D,2023-06-01,1.1581329
BRAND_9259_COUNTRY_A67D,2023-07-01,1.1665732
BRAND_9259_COUNTRY_A67D,2023-08-01,1.1626283
BRAND_9259_COUNTRY_A67D,2023-09-01,1.1626283
BRAND_9259_COUNTRY_A67D,2023-10-01,1.168879
BRAND_9259_COUNTRY_A67D,2023-11-01,1.1806837
BRAND_9259_COUNTRY_A67D,2023-12-01,1.1768849
BRAND_E57A_COUNTRY_D5B9,2023-01-01,1.0970727
BRAND_E57A_COUNTRY_D5B9,2023-02-01,1.0954403
BRAND_E57A_COUNTRY_D5B9,2023-03-01,1.1524323
BRAND_E57A_COUNTRY_D5B9,2023-04-01,1.1324658
BRAND_E57A_COUNTRY_D5B9,2023-05-01,1.1214089
BRAND_E57A_COUNTRY_D5B9,2023-06-01,1.1464356
BRAND_E57A_COUNTRY_D5B9,2023-07-01,1.158378
BRAND_E57A_COUNTRY_D5B9,2023-08-01,1.1359237
BRAND_E57A_COUNTRY_D5B9,2023-09-01,1.1469452
BRAND_E57A_COUNTRY_D5B9,2023-10-01,1.0964229
BRAND_E57A_COUNTRY_D5B9,2023-11-01,1.1116945
BRAND_E57A_COUNTRY_D5B9,2023-12-01,1.103265
BRAND_E57A_COUNTRY_53A5,2023-01-01,2.0693862
BRAND_E57A_COUNTRY_53A5,2023-02-01,2.14984
BRAND_E57A_COUNTRY_53A5,2023-03-01,2.4534268
BRAND_E57A_COUNTRY_53A5,2023-04-01,2.5648723
BRAND_E57A_COUNTRY_53A5,2023-05-01,2.3882742
BRAND_E57A_COUNTRY_53A5,2023-06-01,2.4907243
BRAND_E57A_COUNTRY_53A5,2023-07-01,2.5480266
BRAND_E57A_COUNTRY_53A5,2023-08-01,2.5821526
BRAND_E57A_COUNTRY_53A5,2023-09-01,2.5926857
BRAND_E57A_COUNTRY_53A5,2023-10-01,2.6617768
BRAND_E57A_COUNTRY_53A5,2023-11-01,2.7284007
BRAND_E57A_COUNTRY_53A5,2023-12-01,2.779818
BRAND_9259_COUNTRY_4242,2023-01-01,1.1272403
BRAND_9259_COUNTRY_4242,2023-02-01,1.1210877
BRAND_9259_COUNTRY_4242,2023-03-01,1.160794
BRAND_9259_COUNTRY_4242,2023-04-01,1.1495221
BRAND_9259_COUNTRY_4242,2023-05-01,1.1521401
BRAND_9259_COUNTRY_4242,2023-06-01,1.1645328
BRAND_9259_COUNTRY_4242,2023-07-01,1.1743536
BRAND_9259_COUNTRY_4242,2023-08-01,1.1671692
BRAND_9259_COUNTRY_4242,2023-09-01,1.1781147
BRAND_9259_COUNTRY_4242,2023-10-01,1.1890079
BRAND_9259_COUNTRY_4242,2023-11-01,1.19254
BRAND_9259_COUNTRY_4242,2023-12-01,1.2082673
BRAND_D786_COUNTRY_5A54,2023-01-01,1.0486399
BRAND_D786_COUNTRY_5A54,2023-02-01,1.0450132
BRAND_D786_COUNTRY_5A54,2023-03-01,1.0580084
BRAND_D786_COUNTRY_5A54,2023-04-01,1.057205
BRAND_D786_COUNTRY_5A54,2023-05-01,1.0621607
BRAND_D786_COUNTRY_5A54,2023-06-01,1.0607059
BRAND_D786_COUNTRY_5A54,2023-07-01,1.0570487
BRAND_D786_COUNTRY_5A54,2023-08-01,1.0578752
BRAND_D786_COUNTRY_5A54,2023-09-01,1.0602503
BRAND_D786_COUNTRY_5A54,2023-10-01,1.0656723
BRAND_D786_COUNTRY_5A54,2023-11-01,1.0667083
BRAND_D786_COUNTRY_5A54,2023-12-01,1.0702419
BRAND_7BEC_COUNTRY_445D,2023-01-01,1.3745356
BRAND_7BEC_COUNTRY_445D,2023-02-01,1.2724591
BRAND_7BEC_COUNTRY_445D,2023-03-01,1.7563752
BRAND_7BEC_COUNTRY_445D,2023-04-01,1.3654791
BRAND_7BEC_COUNTRY_445D,2023-05-01,1.3959192
BRAND_7BEC_COUNTRY_445D,2023-06-01,1.4435673
BRAND_7BEC_COUNTRY_445D,2023-07-01,1.4258282
BRAND_7BEC_COUNTRY_445D,2023-08-01,1.4740157
BRAND_7BEC_COUNTRY_445D,2023-09-01,1.5021313
BRAND_7BEC_COUNTRY_445D,2023-10-01,1.5651609
BRAND_7BEC_COUNTRY_445D,2023-11-01,1.578081
BRAND_7BEC_COUNTRY_445D,2023-12-01,1.5576836
BRAND_267B_COUNTRY_0C7D,2023-01-01,1.0870088
BRAND_267B_COUNTRY_0C7D,2023-02-01,1.090284
BRAND_267B_COUNTRY_0C7D,2023-03-01,1.0994097
BRAND_267B_COUNTRY_0C7D,2023-04-01,1.0959811
BRAND_267B_COUNTRY_0C7D,2023-05-01,1.0966637
BRAND_267B_COUNTRY_0C7D,2023-06-01,1.1057836
BRAND_267B_COUNTRY_0C7D,2023-07-01,1.1128706
BRAND_267B_COUNTRY_0C7D,2023-08-01,1.1134375
BRAND_267B_COUNTRY_0C7D,2023-09-01,1.115618
BRAND_267B_COUNTRY_0C7D,2023-10-01,1.119109
BRAND_267B_COUNTRY_0C7D,2023-11-01,1.1191548
BRAND_267B_COUNTRY_0C7D,2023-12-01,1.126115
BRAND_2D13_COUNTRY_0C7D,2023-01-01,1.1051016
BRAND_2D13_COUNTRY_0C7D,2023-02-01,1.103967
BRAND_2D13_COUNTRY_0C7D,2023-03-01,1.1160007
BRAND_2D13_COUNTRY_0C7D,2023-04-01,1.11572
BRAND_2D13_COUNTRY_0C7D,2023-05-01,1.1204518
BRAND_2D13_COUNTRY_0C7D,2023-06-01,1.122017
BRAND_2D13_COUNTRY_0C7D,2023-07-01,1.1356317
BRAND_2D13_COUNTRY_0C7D,2023-08-01,1.1394764
BRAND_2D13_COUNTRY_0C7D,2023-09-01,1.1478268
BRAND_2D13_COUNTRY_0C7D,2023-10-01,1.1562071
BRAND_2D13_COUNTRY_0C7D,2023-11-01,1.1562071
BRAND_2D13_COUNTRY_0C7D,2023-12-01,1.1563817
BRAND_F649_COUNTRY_A67D,2023-01-01,1.0704348
BRAND_F649_COUNTRY_A67D,2023-02-01,1.0625464
BRAND_F649_COUNTRY_A67D,2023-03-01,1.0967895
